price_list,address,home_stat
"$798,888","3627 Rae Ave, Vancouver, BC V5R 2P6",2 Beds2 Baths822 Sq. Ft.
"$1,699,900","4343 Windsor St, Vancouver, BC V5V 4P6","3 Beds2.5 Baths1,417 Sq. Ft."
"$1,099,000","1477 W Pender St #304, Vancouver, BC V6G 2S3",1 Bed—Baths817 Sq. Ft.
"$1,599,900","2915 Trinity St, Vancouver, BC V5K 1G1","4 Beds3 Baths2,229 Sq. Ft."
"$4,499,900","475 W 64th Ave, Vancouver, BC V5X 2M2","5 Beds3 Baths2,108 Sq. Ft."
"$1,399,000","1000 Beach Ave #705, Vancouver, BC V6E 4M2","2 Beds2 Baths1,367 Sq. Ft."
"$1,099,000","1477 W Pender St #303, Vancouver, BC V6G 2S3",1 Bed1 Bath817 Sq. Ft.
"$1,100,000","888 W 16th Ave #14, Vancouver, BC V5Z 1T1","2 Beds2 Baths1,129 Sq. Ft."
"$1,988,000","3858 W 10th Ave, Vancouver, BC V6R 2G7",2 Beds—Baths800 Sq. Ft.
"$5,688,000","4526 Haggart St, Vancouver, BC V6L 2H5","5 Beds5.5 Baths4,105 Sq. Ft."
"$1,488,000","3194 E 19th St, Vancouver, BC V5M 2T1","3 Beds2.5 Baths1,276 Sq. Ft."
"$3,180,000","499 Drake St #401, Vancouver, BC V6B 1B1","3 Beds2 Baths2,054 Sq. Ft."
"$1,488,000","3192 E 19th Ave, Vancouver, BC V5M 2T1","3 Beds2.5 Baths1,265 Sq. Ft."
"$866,000","2580 Tolmie St #603, Vancouver, BC V6R 4R4",2 Beds2 Baths988 Sq. Ft.
"$1,399,000","7433 Cambie St #1703, Vancouver, BC V6P 6E8",2 Beds2 Baths830 Sq. Ft.
"$1,408,888","5221 Clarendon St, Vancouver, BC V5R 3J7","5 Beds2.5 Baths2,239 Sq. Ft."
"$674,900","445 W 2nd Ave #708, Vancouver, BC V5Y 0E8",1 Bed1 Bath631 Sq. Ft.
"$1,780,000","330 E Hastings St, Vancouver, BC V6A 1P4","—Beds6 Baths4,200 Sq. Ft."
"$1,128,000","588 Broughton St #302, Vancouver, BC V6G 3E3",2 Beds2 Baths942 Sq. Ft.
"$1,113,000","555 Jervis St #302, Vancouver, BC V6E 4N1",2 Beds2 Baths941 Sq. Ft.
"$1,628,888","4177 Staulo Cres, Vancouver, BC V6N 3S1","3 Beds3 Baths3,339 Sq. Ft."
"$769,900","7418 Paulson St #307, Vancouver, BC V6P 0K2",1 Bed1 Bath488 Sq. Ft.
"$2,498,000","2407 Yew St, Vancouver, BC V6K 3H3","4 Beds2.5 Baths1,843 Sq. Ft."
"$2,180,000","5059 St. Margarets St, Vancouver, BC V5R 3H4","5 Beds4.5 Baths2,318 Sq. Ft."
"$678,000","1330 Harwood St #905, Vancouver, BC V6E 1S8",1 Bed1 Bath639 Sq. Ft.
"$3,588,000","170 Athletes Way #501, Vancouver, BC V5Y 0B5","2 Beds2 Baths1,974 Sq. Ft."
"$1,199,000","3284 E 54th Ave, Vancouver, BC V5S 0A1","3 Beds2.5 Baths1,310 Sq. Ft."
"$1,499,000","2709 E 8th Ave, Vancouver, BC V5M 1W7","3 Beds3 Baths1,423 Sq. Ft."
"$4,388,000","3346 W 10th Ave, Vancouver, BC V6R 2E6","9 Beds6 Baths3,539 Sq. Ft."
"$3,288,000","3541 W 20th Ave, Vancouver, BC V6S 1E6","4 Beds2.5 Baths2,605 Sq. Ft."
"$329,900","1534 Harwood St #1003, Vancouver, BC V6G 1X9",1 Bed1 Bath540 Sq. Ft.
"$2,000,000","1600 Howe St #906, Vancouver, BC V6Z 2L9","2 Beds2 Baths1,412 Sq. Ft."
"$849,000","1720 W 12th Ave #209, Vancouver, BC V6J 2E6","2 Beds1.5 Baths1,164 Sq. Ft."
"$1,788,000","460 W 35th Ave, Vancouver, BC V5Z 2Z7","3 Beds2.5 Baths1,490 Sq. Ft."
"$1,298,000","3605 Monmouth Ave, Vancouver, BC V5R 4K2","3 Beds2.5 Baths1,239 Sq. Ft."
"$1,098,000","5775 Hampton Pl #401, Vancouver, BC V6T 2G6","2 Beds2 Baths1,288 Sq. Ft."
"$2,898,000","3870 W 17th Ave, Vancouver, BC V6S 1A4","4 Beds2 Baths1,585 Sq. Ft."
"$2,199,900","5118 Cambie St #302, Vancouver, BC V5Z 2Z7","3 Beds3 Baths1,392 Sq. Ft."
"$3,600,000","1708 Ontario St #1803, Vancouver, BC V5T 0J7","4 Beds3 Baths1,623 Sq. Ft."
"$2,669,900","5118 Cambie St #501, Vancouver, BC V5Z 2Z7","3 Beds3 Baths1,614 Sq. Ft."
"$1,769,900","1708 Ontario St #1606, Vancouver, BC V5T 0J7","3 Beds2 Baths1,109 Sq. Ft."
"$863,000","1949 W 8th Ave #19, Vancouver, BC V6J 1W2",1 Bed1 Bath865 Sq. Ft.
"$949,900","1111 Richards St #1801, Vancouver, BC V6B 0S3",1 Bed1 Bath629 Sq. Ft.
"$988,000","518 Moberly Rd #605, Vancouver, BC V5Z 4G3","2 Beds1.5 Baths1,045 Sq. Ft."
"$6,498,000","6311 Larch St, Vancouver, BC V6M 4E8","5 Beds6.5 Baths4,925 Sq. Ft."
"$649,900","8575 Rivergrass Dr #556, Vancouver, BC V5S 0H4",1 Bed1 Bath630 Sq. Ft.
"$660,000","231 E Pender St #705, Vancouver, BC V6A 0G3",1 Bed1 Bath660 Sq. Ft.
"$739,000","1949 Beach Ave #306, Vancouver, BC V6G 1Z2",1 Bed1 Bath796 Sq. Ft.
"$1,199,800","628 W 13th Ave Unit N401, Vancouver, BC V5Z 1N9","2 Beds2 Baths1,339 Sq. Ft."
"$2,899,000","977 W 20th Ave, Vancouver, BC V5Z 1Y4","5 Beds3 Baths2,602 Sq. Ft."
"$379,900","830 E 7th Ave #211, Vancouver, BC V5T 4J2",1 Bed1 Bath439 Sq. Ft.
"$599,000","5355 Boundary Rd #106, Vancouver, BC V5R 6G2",1 Bed1 Bath610 Sq. Ft.
"$1,038,000","1288 Alberni St #1703, Vancouver, BC V6E 4N5",2 Beds2 Baths911 Sq. Ft.
"$1,979,900","828 Cambie St #2006, Vancouver, BC V6B 2P6","3 Beds2 Baths1,012 Sq. Ft."
"$2,699,900","1480 Howe St #4506, Vancouver, BC V6Z 0G5","2 Beds2.5 Baths1,335 Sq. Ft."
"$628,000","5058 Joyce St #905, Vancouver, BC V5R 0J9",1 Bed1 Bath439 Sq. Ft.
"$938,800","3263 Pierview Cres #502, Vancouver, BC V5S 0C3","2 Beds2 Baths1,089 Sq. Ft."
"$2,891,460","1380 W King Edward Ave Unit B, Vancouver, BC V6H 1Z9","4 Beds3.5 Baths2,022 Sq. Ft."
"$3,498,000","1390 W King Edward Ave Unit A, Vancouver, BC V6H 1Z9","3 Beds3.5 Baths2,613 Sq. Ft."
"$4,360,000","2127 W 21st Ave, Vancouver, BC V6L 1J2","7 Beds4.5 Baths4,342 Sq. Ft."
"$2,450,000","4238 W 13th Ave, Vancouver, BC V6R 2T8","4 Beds2 Baths1,831 Sq. Ft."
"$2,328,000","3205 Kitchener St, Vancouver, BC V5K 3G1","6 Beds4 Baths2,283 Sq. Ft."
"$888,000","1495 Richards St #2001, Vancouver, BC V6Z 3E3",1 Bed1 Bath741 Sq. Ft.
"$2,199,000","1256 E 41st Ave, Vancouver, BC V5W 1R4","6 Beds5.5 Baths2,252 Sq. Ft."
"$1,249,000","388 Drake St #205, Vancouver, BC V6B 6A8","2 Beds2 Baths1,096 Sq. Ft."
"$1,888,000","3487 Binning Rd #1910, Vancouver, BC V6S 0K8","3 Beds2 Baths1,023 Sq. Ft."
"$3,499,000","3066 W 3rd Ave, Vancouver, BC V6K 1N1","4 Beds2.5 Baths2,309 Sq. Ft."
