 price_list ,Address,Type,City,Province,Postal Code,Number of Bedroom,Number of Bathroom,Square Ft
819000,111 W Georgia St ,Apartment, Vancouver,BC,V6B 1T8,2,1,806
1500000,238 E 15th Ave,Single House, Vancouver,BC,V5T 2P9,4,2,1442
648800,1010 Richards St ,Apartment, Vancouver,BC,V6B 1G2,1,1,567
1688000,2880 E 22nd Ave,Single House, Vancouver,BC,V5M 2Y2,5,2,2423
1498000,2447 Adanac St,Single House, Vancouver,BC,V5K 2M3,4,4,1478
1199000,1485 W 6th Ave ,Apartment, Vancouver,BC,V6H 4G1,2,2,1217
1189000,3601 Rae Ave,Single House, Vancouver,BC,V5R 2P6,3,2.5,1230
699000,2480 W 3rd Ave ,Apartment, Vancouver,BC,V6K 1L8,1,1,686
649900,1010 Richards St ,Apartment, Vancouver,BC,V6B 1G2,1,1,573
2899900,1283 Howe St,Penthouse, Vancouver,BC,V6Z 0E3,3,3,1623
975000,666 Leg In Boot Sq ,Apartment, Vancouver,BC,V5Z 4B3,3,2,1458
649900,777 Richards St ,Apartment, Vancouver,BC,V6B 0M6,1,1,510
619000,2435 Kingsway ,Apartment, Vancouver,BC,V5R 5G8,1,1,554
849900,1718 Ontario St,Single House, Vancouver,BC,V5T 1A1,1,1,665
699000,319 E 7th Ave ,Apartment, Vancouver,BC,V5T 1M9,2,1,906
2388000,7577 Jasper Cres,Single House, Vancouver,BC,V5P 3S6,8,3.5,2500
635000,221 Union St ,Apartment, Vancouver,BC,V6A 0B4,1,1,635
649900,5380 Oben St ,Apartment, Vancouver,BC,V5R 6H7,1,1,680
1188888,1279 Seymour St,Single House, Vancouver,BC,V6B 3N6,2,2.5,1180
1449000,535 Smithe St ,Apartment, Vancouver,BC,V6B 0H2,2,2,1037
1599000,3326 Slocan St,Single House, Vancouver,BC,V5M 3E5,4,3,2345
4699000,5575 Larch St,Single House, Vancouver,BC,V6M 4C9,7,5.5,4025
